index,County,SIR,AIR,Lower CI,Upper CI,Recent Trend,Recent IR,Date
0,"US (SEER+NPCR)(1,10)",20.1,62.4,62.3,62.6,falling,2.5,01-01-2013
1,"Autauga County, Alabama(6,10)",17.7,74.9,65.1,85.7,stable,0.5,02-01-2013
2,"Baldwin County, Alabama(6,10)",19.7,66.9,62.4,71.7,stable,3,03-01-2013
3,"Barbour County, Alabama(6,10)",23.1,74.6,61.8,89.4,stable,-6.4,04-01-2013
4,"Bibb County, Alabama(6,10)",26.5,86.4,71,104.2,stable,-4.5,05-01-2013
5,"Blount County, Alabama(6,10)",20.5,69.7,61.2,79,stable,-13.6,06-01-2013
6,"Bullock County, Alabama(6,10)",31.7,65.8,47.3,89.6,stable,7.2,07-01-2013
7,"Butler County, Alabama(6,10)",22.9,58.3,46.4,72.7,stable,2,08-01-2013
8,"Calhoun County, Alabama(6,10)",27.1,84.2,77.5,91.3,stable,-3.8,09-01-2013
9,"Chambers County, Alabama(6,10)",20.08,75.4,64.4,87.9,falling,-7.9,10-01-2013
10,"Cherokee County, Alabama(6,10)",22,82.4,69.8,96.9,stable,7.1,11-01-2013
11,"Chilton County, Alabama(6,10)",20.3,73.9,63.7,85.4,stable,-0.2,12-01-2013
12,"Choctaw County, Alabama(6,10)",21.4,49.2,36.3,66,stable,9.7,13-01-2013
13,"Clarke County, Alabama(6,10)",21.7,69.5,57.3,83.7,stable,-1.3,14-01-2013
14,"Clay County, Alabama(6,10)",20.76,83.3,65.8,104.5,stable,-13.8,15-01-2013
15,"Cleburne County, Alabama(6,10)",26.7,74.9,58.1,95.4,stable,4.8,16-01-2013
16,"Coffee County, Alabama(6,10)",20.1,71.5,62.3,81.9,stable,-7.2,17-01-2013
17,"Colbert County, Alabama(6,10)",22,75.9,67.2,85.5,stable,-4.4,18-01-2013
18,"Conecuh County, Alabama(6,10)",20.6,73.5,57.1,93.8,stable,-9.7,19-01-2013
19,"Coosa County, Alabama(6,10)",26,82.6,63.9,106,stable,-11.5,20-01-2013
20,"Covington County, Alabama(6,10)",20.8,83,72.3,95.1,stable,5.7,21-01-2013
21,"Crenshaw County, Alabama(6,10)",19.1,61.5,46.3,80.6,stable,14.7,22-01-2013
22,"Cullman County, Alabama(6,10)",19.5,69.6,62.6,77.3,stable,-2.2,23-01-2013
23,"Dale County, Alabama(6,10)",22.6,76.7,66.7,87.7,stable,-3.2,24-01-2013
24,"Dallas County, Alabama(6,10)",23.5,76.2,65.6,88,stable,7.4,25-01-2013
25,"DeKalb County, Alabama(6,10)",25.1,60.8,53.5,68.9,stable,-2.1,26-01-2013
26,"Elmore County, Alabama(6,10)",27.5,78.1,69.7,87.2,stable,-3.4,27-01-2013
27,"Escambia County, Alabama(6,10)",20.2,75.5,64.8,87.6,stable,0,28-01-2013
28,"Etowah County, Alabama(6,10)",27.5,81.9,75.1,89.1,stable,-0.1,29-01-2013
29,"Fayette County, Alabama(6,10)",27.9,77.3,62.3,95.3,stable,-6.1,30-01-2013
